"ID příspěvku","ID účtu","Uživatelské jméno účtu","Název účtu",Popis,"Délka (v sekundách)","Čas zveřejnění","Přímý odkaz","Typ příspěvku","Komentář s daty",Datum,Zobrazení,Dosah,"To se mi líbí",Sdílené,Sledující,Komentáře,Uložení
18170673544393544,17841409576254354,praguechessfestival,"Prague Chess Festival","Can Václav Finěk extend his lead in Challengers category? 🔥♟️ We find out today! 🤩

Navýší Václav Finěk v šestém kole svůj náskok v čele kategorie Challengers? To zjistíme dnes po 15té hodině! 💥

#prague #chess #festival #challengers",0,"03/03/2026 04:35",https://www.instagram.com/p/DVbCj_1jEYB/,"IG image",,Dlouhodobě,6033,4275,19,3,0,0,0
18080454665358623,17841409576254354,praguechessfestival,"Prague Chess Festival","Battle of the best! ♟️⚔️ Highlight of the 6th round in Masters category is going to be @jordenvforeest 🆚 David Navara! 🔥

Čeká nás bitva těch nejlepších! V šestém kole se mimo jiné utkají hráči č. 1 a 2 v aktuální tabulce. Tedy Jorden Van Foreest a David Navara. 💥

#chess #prague #festival",0,"03/03/2026 04:30",https://www.instagram.com/p/DVbB8QdDNj_/,"IG image",,Dlouhodobě,15598,10849,63,8,1,0,3
18092153972044887,17841409576254354,praguechessfestival,"Prague Chess Festival","Women’s Chess Day in Prague! ♟️✨ While the Masters, Challengers, and Futures tournaments had a rest day, we decided to honor all women chess players. Czech actress @geislerka also joined us for this special occasion. 🇨🇿 💛

Šachový den žen v Praze! ♟️✨ Zatímco turnaje Masters, Challengers i Futures měli volný den, my jsme se rozhodli vzdát čest všem šachistkám. A dorazila i česká herečka Aňa Geislerová. 🇨🇿 💛
.
#PICF #PICF2026 #ChessWomensDay #AnaGeislerova #PiaCramling @hoteltowersprg",89,"03/03/2026 03:08",https://www.instagram.com/reel/DVa4gcfILCQ/,"IG reel",,Dlouhodobě,1758,1209,39,6,0,2,3
18067843412257193,17841452626244289,fidewomen,"FIDE Commission for Women's Chess","✨ A special and inspiring moment at the Prague Chess Festival ♟️

Participants of the Futures tournament - together with their parents - had the wonderful opportunity to attend a lecture by legendary GM Pia Cramling!

Spending time with one of the true icons of women’s chess, listening to her reflections and experiences, is something truly rare and valuable. For the young players, it was an inspiring moment; for parents, a meaningful chance to gain perspective from someone who has dedicated her life to the game.

Experiences like this make the Futures tournament so much more than a competition. They create connection, motivation, and a sense of belonging to the wider chess community👏

We are proud to once again partner with the organisers of the Prague Chess Festival @praguechessfestival, whose dedication continues to provide young chess girls with unforgettable opportunities - both on and off the board🤍♟️

#chess #womeninchess #rolemodels

Photos by @denisburko88",0,"03/03/2026 01:28",https://www.instagram.com/p/DVatLJqiIg-/,"IG carousel",,Dlouhodobě,3594,1386,98,1,,2,0
18425777152189577,17841409576254354,praguechessfestival,"Prague Chess Festival","We have a special message for @piaanncramling : Listen to what meeting her chess idol and role model, Pia Cramling, means to Małgorzata Nowak. ♟️❤️

Máme tady jeden vzkaz pro Piu Cramling: Poslechněte si, co pro Malgorzatu Nowak znamená setkání s jejím šachovým idolem a vzorem Piou Cramling.",0,"03/03/2026 00:51",https://www.instagram.com/reel/DVaoj26jMR1/,"IG reel",,Dlouhodobě,925,654,18,0,2,1,3
18105723313655588,17841409576254354,praguechessfestival,"Prague Chess Festival","Women’s Chess Day also welcomed popular Czech actress @geislerka, who made the ceremonial first move to open @piaanncramling’s simultaneous exhibition against the participants of the Futures tournament. The magic of chess was introduced to the actress by @divyachess, who taught her the basic moves and rules of the game. Thank you Aňa and Divya!❤️Other distinguished guests were also in attendance, including Bessel Kok. It was a wonderful day dedicated to women in chess! ♟️💫

Na Ženský šachový den dorazila také česká populární herečka Aňa Geislerová, která úvodním tahem zahájila simultánku Pii Cramling s účastnicemi turnaje Futures. Kouzlo šachu ukázala české herečce Divya Deshmuk, která ji naučila základní tahy a pravidla. Přišli i další významní hosté, mezi nimi například Bessel Kok. Byl to skvělý den věnovaným ženám - šachistkám! ♟️💫",0,"03/03/2026 00:31",https://www.instagram.com/p/DVamkbiDEMH/,"IG carousel",,Dlouhodobě,46969,32510,436,19,1,5,66
18513366139074672,17841409576254354,praguechessfestival,"Prague Chess Festival","“No, it’s not up to you!” Sweet banter between @piaanncramling and Czech actress @geislerka ahead of the Futures simul. We’re pretty sure @divyachess also chipped in and advised Aňa with some truly out-of-the-box opening ideas! 😅

🇨🇿„Ne, tohle není na vás!“ Milé pošťuchování mezi Piou Cramling a českou herečkou Aňou Geislerovou před simultánkou Futures. Jsme si docela jistí, že se zapojila i Divya, která Aňe poradila pár opravdu netradičních zahájení! 😅
.
#PICF #PICF2026 #simul #chess #PragueChess",30,"03/02/2026 21:37",https://www.instagram.com/reel/DVaR1znDA87/,"IG reel",,Dlouhodobě,16606,11766,744,25,2,5,72
18101471143728947,17841429054627137,radiozurnal_sport,"Radiožurnál Sport","♟️💥 Magnus Carlsen v Praze? Šachová megastar má na @praguechessfestival otevřené dveře. 😎 Má to ale jednu podmínku. ☝️ 

Celý rozhovor s ředitelem festivalu @boleslav_petr nabídneme na Radiožurnálu sport v úterý po 17té hodině! 🎧📻

#sachy #chess #prague #festival",57,"03/02/2026 12:14",https://www.instagram.com/reel/DVZRvgvjEiv/,"IG reel",,Dlouhodobě,2281,1541,28,5,,0,0
18079606064376346,17841409576254354,praguechessfestival,"Prague Chess Festival","🎙️ ""We always need to support women, so we'll simply see more women playing chess."" @piaanncramling is our Futures role model for this year’s @praguechessfestival. Thank you so much for your kindness, lessons, and positive spirit! 💬

🇨🇿 🎙️ „Vždy musíme podporovat ženy, aby šachistek přibývalo."" Pia Cramling je pro naše Futures na Pražském šachovém festivalu velkým vzorem. Moc děkujeme za laskavost, cenné lekce a pozitivní energii! 💬
.
#PICF #PICF2026 #Futures #chess #PragueChess #PragueMasters",132,"03/02/2026 10:12",https://www.instagram.com/reel/DVZEPeqjUCU/,"IG reel",,Dlouhodobě,4136,2674,104,3,1,0,3
17996621147874759,17841409576254354,praguechessfestival,"Prague Chess Festival","🎓 Educating the next generation of chess players. Thank you, @piaanncramling, for being such an inspiring role model! ♟️

🇨🇿 🎓 Vzdělávání nové generace šachistů. Děkujeme Pie Cramling za to, že je pro ně tak skvělým vzorem! ♟️
.
📸 Petr Vrabec (@zewlakk_foto)
#PICF #PICF2026 #PiaCramling #Futures #PragueChess #PragueMasters",0,"03/02/2026 09:37",https://www.instagram.com/p/DVZAQuKDGpZ/,"IG carousel",,Dlouhodobě,4921,1855,114,14,0,0,1
